date,msft
2013-12-31,17.00
2014-01-01,17.00
2014-01-02,26.00
2014-01-03,25.00
2014-01-04,9.00
2014-01-05,10.00
2014-01-06,24.00
2014-01-07,26.00
2014-01-08,33.00
2014-01-09,35.00
2014-01-10,25.00
2014-01-11,15.00
2014-01-12,8.00
2014-01-13,27.00
2014-01-14,34.00
2014-01-15,37.00
2014-01-16,30.00
2014-01-17,39.00
2014-01-18,11.00
2014-01-19,8.00
2014-01-20,18.00
2014-01-21,25.00
2014-01-22,28.00
2014-01-23,57.00
2014-01-24,82.00
2014-01-25,24.00
2014-01-26,14.00
2014-01-27,31.00
2014-01-28,31.00
2014-01-29,30.00
2014-01-30,38.00
2014-01-31,50.00
2014-02-01,18.00
2014-02-02,16.00
2014-02-03,42.00
2014-02-04,100.00
2014-02-05,45.00
2014-02-06,24.00
2014-02-07,26.00
2014-02-08,14.00
2014-02-09,13.00
2014-02-10,23.00
2014-02-11,25.00
2014-02-12,32.00
2014-02-13,27.00
2014-02-14,26.00
2014-02-15,15.00
2014-02-16,10.00
2014-02-17,20.00
2014-02-18,22.00
2014-02-19,34.00
2014-02-20,32.00
2014-02-21,23.00
2014-02-22,12.00
2014-02-23,16.00
2014-02-24,24.00
2014-02-25,27.00
2014-02-26,20.00
2014-02-27,24.00
2014-02-28,31.00
2014-03-01,17.00
2014-03-02,11.00
2014-03-03,31.00
2014-03-04,24.00
2014-03-05,22.00
2014-03-06,37.00
2014-03-07,28.00
2014-03-08,11.00
2014-03-09,10.00
2014-03-10,26.00
2014-03-11,28.00
2014-03-12,31.00
2014-03-13,27.00
2014-03-14,23.00
2014-03-15,12.00
2014-03-16,11.00
2014-03-17,20.00
2014-03-18,37.00
2014-03-19,34.00
2014-03-20,39.00
2014-03-21,27.00
2014-03-22,11.00
2014-03-23,8.00
2014-03-24,32.00
2014-03-25,35.00
2014-03-26,33.00
2014-03-27,44.00
2014-03-28,45.00
2014-03-29,12.00
2014-03-30,11.00
2014-03-31,37.00
2014-04-01,41.97
2014-04-02,43.07
2014-04-03,36.45
2014-04-04,36.45
2014-04-05,14.91
2014-04-06,13.81
2014-04-07,32.58
2014-04-08,35.90
2014-04-09,28.72
2014-04-10,34.79
2014-04-11,33.13
2014-04-12,12.15
2014-04-13,11.60
2014-04-14,25.40
2014-04-15,28.16
2014-04-16,27.06
2014-04-17,28.72
2014-04-18,18.22
2014-04-19,8.84
2014-04-20,7.18
2014-04-21,23.19
2014-04-22,34.24
2014-04-23,28.72
2014-04-24,55.22
2014-04-25,52.46
2014-04-26,13.81
2014-04-27,9.94
2014-04-28,27.61
2014-04-29,32.58
2014-04-30,28.72
2014-05-01,33.13
2014-05-02,28.16
2014-05-03,15.46
2014-05-04,8.84
2014-05-05,27.61
2014-05-06,20.43
2014-05-07,25.96
2014-05-08,22.09
2014-05-09,24.30
2014-05-10,9.94
2014-05-11,11.04
2014-05-12,23.75
2014-05-13,22.64
2014-05-14,28.16
2014-05-15,32.03
2014-05-16,33.13
2014-05-17,11.04
2014-05-18,5.52
2014-05-19,24.30
2014-05-20,32.58
2014-05-21,28.72
2014-05-22,23.75
2014-05-23,23.19
2014-05-24,9.39
2014-05-25,7.18
2014-05-26,7.73
2014-05-27,23.19
2014-05-28,29.82
2014-05-29,24.85
2014-05-30,24.85
2014-05-31,12.70
2014-06-01,8.84
2014-06-02,18.78
2014-06-03,22.64
2014-06-04,23.75
2014-06-05,28.16
2014-06-06,32.58
2014-06-07,12.15
2014-06-08,8.28
2014-06-09,19.33
2014-06-10,19.33
2014-06-11,18.22
2014-06-12,23.75
2014-06-13,24.30
2014-06-14,9.94
2014-06-15,10.49
2014-06-16,22.09
2014-06-17,23.19
2014-06-18,23.75
2014-06-19,20.43
2014-06-20,24.30
2014-06-21,7.18
2014-06-22,4.97
2014-06-23,23.19
2014-06-24,20.99
2014-06-25,21.54
2014-06-26,22.64
2014-06-27,22.64
2014-06-28,7.73
2014-06-29,6.07
2014-06-30,18.22
2014-07-01,18.98
2014-07-02,17.46
2014-07-03,19.74
2014-07-04,11.39
2014-07-05,6.83
2014-07-06,7.59
2014-07-07,15.19
2014-07-08,18.22
2014-07-09,23.54
2014-07-10,27.34
2014-07-11,18.98
2014-07-12,3.80
2014-07-13,6.07
2014-07-14,15.95
2014-07-15,29.61
2014-07-16,34.93
2014-07-17,75.93
2014-07-18,47.84
2014-07-19,12.91
2014-07-20,9.87
2014-07-21,30.37
2014-07-22,51.63
2014-07-23,47.08
2014-07-24,28.10
2014-07-25,25.82
2014-07-26,11.39
2014-07-27,6.07
2014-07-28,24.30
2014-07-29,25.06
2014-07-30,22.78
2014-07-31,14.43
2014-08-01,22.78
2014-08-02,9.11
2014-08-03,6.83
2014-08-04,22.02
2014-08-05,21.26
2014-08-06,22.02
2014-08-07,22.78
2014-08-08,20.50
2014-08-09,10.63
2014-08-10,6.07
2014-08-11,15.19
2014-08-12,17.46
2014-08-13,14.43
2014-08-14,16.71
2014-08-15,15.19
2014-08-16,9.87
2014-08-17,3.80
2014-08-18,15.95
2014-08-19,22.02
2014-08-20,23.54
2014-08-21,19.74
2014-08-22,20.50
2014-08-23,7.59
2014-08-24,8.35
2014-08-25,25.06
2014-08-26,21.26
2014-08-27,16.71
2014-08-28,17.46
2014-08-29,20.50
2014-08-30,7.59
2014-08-31,6.83
2014-09-01,7.59
2014-09-02,21.26
2014-09-03,19.74
2014-09-04,23.54
2014-09-05,20.50
2014-09-06,9.11
2014-09-07,4.56
2014-09-08,15.95
2014-09-09,26.58
2014-09-10,20.50
2014-09-11,28.10
2014-09-12,21.26
2014-09-13,8.35
2014-09-14,5.32
2014-09-15,27.34
2014-09-16,25.82
2014-09-17,29.61
2014-09-18,31.89
2014-09-19,23.54
2014-09-20,7.59
2014-09-21,4.56
2014-09-22,22.02
2014-09-23,22.02
2014-09-24,20.50
2014-09-25,24.30
2014-09-26,21.26
2014-09-27,6.83
2014-09-28,6.83
2014-09-29,9.35
2014-09-30,16.55
2014-10-01,12.59
2014-10-02,12.59
2014-10-03,13.31
2014-10-04,6.11
2014-10-05,3.96
2014-10-06,10.79
2014-10-07,11.87
2014-10-08,8.63
2014-10-09,12.59
2014-10-10,17.26
2014-10-11,5.75
2014-10-12,6.83
2014-10-13,11.15
2014-10-14,13.31
2014-10-15,17.98
2014-10-16,16.19
2014-10-17,12.59
2014-10-18,4.68
2014-10-19,3.96
2014-10-20,14.03
2014-10-21,16.19
2014-10-22,17.62
2014-10-23,27.34
2014-10-24,35.97
2014-10-25,9.71
2014-10-26,3.24
2014-10-27,10.79
2014-10-28,11.51
2014-10-29,15.11
2014-10-30,12.95
2014-10-31,15.83
2014-11-01,6.11
2014-11-02,5.04
2014-11-03,10.43
2014-11-04,12.59
2014-11-05,13.67
2014-11-06,12.95
2014-11-07,14.75
2014-11-08,7.91
2014-11-09,2.52
2014-11-10,11.87
2014-11-11,14.03
2014-11-12,14.03
2014-11-13,19.06
2014-11-14,15.83
2014-11-15,10.07
2014-11-16,7.19
2014-11-17,12.95
2014-11-18,18.70
2014-11-19,17.62
2014-11-20,12.59
2014-11-21,15.83
2014-11-22,7.19
2014-11-23,2.88
2014-11-24,12.59
2014-11-25,13.31
2014-11-26,17.98
2014-11-27,6.83
2014-11-28,11.87
2014-11-29,4.68
2014-11-30,2.16
2014-12-01,11.87
2014-12-02,14.75
2014-12-03,14.75
2014-12-04,14.75
2014-12-05,16.91
2014-12-06,4.32
2014-12-07,2.52
2014-12-08,9.71
2014-12-09,11.51
2014-12-10,10.79
2014-12-11,11.15
2014-12-12,13.31
2014-12-13,5.04
2014-12-14,3.96
2014-12-15,8.27
2014-12-16,11.87
2014-12-17,14.75
2014-12-18,18.70
2014-12-19,16.19
2014-12-20,3.60
2014-12-21,5.04
2014-12-22,11.15
2014-12-23,8.99
2014-12-24,8.63
2014-12-25,3.96
2014-12-26,12.23
2014-12-27,7.34
2014-12-28,4.89
2014-12-29,6.85
2014-12-30,8.32
2014-12-31,6.36
2015-01-01,3.42
2015-01-02,11.25
2015-01-03,4.89
2015-01-04,2.45
2015-01-05,10.27
2015-01-06,9.29
2015-01-07,7.83
2015-01-08,9.78
2015-01-09,12.72
2015-01-10,3.91
2015-01-11,4.40
2015-01-12,9.78
2015-01-13,10.27
2015-01-14,8.32
2015-01-15,10.27
2015-01-16,9.78
2015-01-17,5.87
2015-01-18,5.38
2015-01-19,7.83
2015-01-20,7.83
2015-01-21,20.55
2015-01-22,19.08
2015-01-23,16.14
2015-01-24,4.40
2015-01-25,7.83
2015-01-26,24.46
2015-01-27,48.92
2015-01-28,30.82
2015-01-29,21.52
2015-01-30,18.59
2015-01-31,11.25
2015-02-01,5.38
2015-02-02,16.14
2015-02-03,13.21
2015-02-04,12.23
2015-02-05,17.12
2015-02-06,16.14
2015-02-07,6.36
2015-02-08,1.96
2015-02-09,11.25
2015-02-10,11.74
2015-02-11,14.19
2015-02-12,15.16
2015-02-13,15.65
2015-02-14,7.34
2015-02-15,3.91
2015-02-16,8.32
2015-02-17,12.72
2015-02-18,13.21
2015-02-19,12.23
2015-02-20,15.65
2015-02-21,6.36
2015-02-22,2.94
2015-02-23,12.72
2015-02-24,11.74
2015-02-25,11.74
2015-02-26,9.29
2015-02-27,12.23
2015-02-28,5.87
2015-03-01,2.45
2015-03-02,13.70
2015-03-03,11.25
2015-03-04,12.23
2015-03-05,12.72
2015-03-06,10.76
2015-03-07,3.91
2015-03-08,5.38
2015-03-09,10.76
2015-03-10,10.27
2015-03-11,9.78
2015-03-12,12.72
2015-03-13,11.25
2015-03-14,4.89
2015-03-15,3.91
2015-03-16,10.27
2015-03-17,12.72
2015-03-18,12.72
2015-03-19,11.74
2015-03-20,10.76
2015-03-21,3.91
2015-03-22,2.94
2015-03-23,10.76
2015-03-24,9.29
2015-03-25,8.81
2015-03-26,5.87
2015-03-27,7.09
2015-03-28,2.69
2015-03-29,1.96
2015-03-30,6.85
2015-03-31,8.07
2015-04-01,7.09
2015-04-02,7.83
2015-04-03,4.65
2015-04-04,2.20
2015-04-05,1.71
2015-04-06,7.58
2015-04-07,6.36
2015-04-08,8.07
2015-04-09,5.38
2015-04-10,5.87
2015-04-11,2.20
2015-04-12,2.45
2015-04-13,6.85
2015-04-14,6.85
2015-04-15,6.36
2015-04-16,6.60
2015-04-17,5.87
2015-04-18,2.94
2015-04-19,1.96
2015-04-20,7.09
2015-04-21,7.58
2015-04-22,6.60
2015-04-23,16.39
2015-04-24,24.46
2015-04-25,7.34
2015-04-26,4.65
2015-04-27,11.74
2015-04-28,12.23
2015-04-29,14.19
2015-04-30,13.45
2015-05-01,9.54
2015-05-02,4.40
2015-05-03,3.18
2015-05-04,7.83
2015-05-05,8.07
2015-05-06,8.32
2015-05-07,7.09
2015-05-08,7.09
2015-05-09,3.42
2015-05-10,2.69
2015-05-11,6.11
2015-05-12,6.60
2015-05-13,7.34
2015-05-14,7.34
2015-05-15,5.63
2015-05-16,2.69
2015-05-17,2.20
2015-05-18,6.60
2015-05-19,6.36
2015-05-20,6.11
2015-05-21,6.11
2015-05-22,6.36
2015-05-23,2.94
2015-05-24,1.71
2015-05-25,2.20
2015-05-26,5.87
2015-05-27,5.38
2015-05-28,7.09
2015-05-29,4.89
2015-05-30,2.45
2015-05-31,1.96
2015-06-01,6.11
2015-06-02,5.14
2015-06-03,5.14
2015-06-04,5.63
2015-06-05,6.60
2015-06-06,1.71
2015-06-07,2.69
2015-06-08,5.87
2015-06-09,5.38
2015-06-10,5.63
2015-06-11,5.87
2015-06-12,5.63
2015-06-13,2.20
2015-06-14,2.20
2015-06-15,4.40
2015-06-16,6.11
2015-06-17,6.36
2015-06-18,4.89
2015-06-19,5.38
2015-06-20,2.20
2015-06-21,1.71
2015-06-22,6.11
2015-06-23,4.89
2015-06-24,5.38
2015-06-25,5.85
2015-06-26,7.25
2015-06-27,2.57
2015-06-28,1.64
2015-06-29,8.66
2015-06-30,8.42
2015-07-01,7.25
2015-07-02,6.55
2015-07-03,3.28
2015-07-04,2.11
2015-07-05,1.64
2015-07-06,8.19
2015-07-07,6.08
2015-07-08,14.97
2015-07-09,10.53
2015-07-10,7.02
2015-07-11,3.98
2015-07-12,1.64
2015-07-13,8.19
2015-07-14,7.72
2015-07-15,7.49
2015-07-16,7.95
2015-07-17,9.12
2015-07-18,3.74
2015-07-19,2.57
2015-07-20,10.53
2015-07-21,23.39
2015-07-22,21.76
2015-07-23,9.59
2015-07-24,9.12
2015-07-25,3.98
2015-07-26,2.57
2015-07-27,7.72
2015-07-28,7.49
2015-07-29,11.46
2015-07-30,9.59
2015-07-31,8.42
2015-08-01,4.21
2015-08-02,3.74
2015-08-03,7.25
2015-08-04,9.36
2015-08-05,7.49
2015-08-06,7.49
2015-08-07,7.72
2015-08-08,2.11
2015-08-09,2.81
2015-08-10,7.25
2015-08-11,7.02
2015-08-12,6.55
2015-08-13,8.66
2015-08-14,5.85
2015-08-15,2.34
2015-08-16,1.64
2015-08-17,6.78
2015-08-18,7.95
2015-08-19,6.32
2015-08-20,6.78
2015-08-21,10.06
2015-08-22,5.85
2015-08-23,2.81
2015-08-24,15.91
2015-08-25,14.50
2015-08-26,11.70
2015-08-27,11.00
2015-08-28,8.42
2015-08-29,3.51
2015-08-30,3.04
2015-08-31,7.95
2015-09-01,7.95
2015-09-02,8.89
2015-09-03,9.36
2015-09-04,7.72
2015-09-05,3.51
2015-09-06,1.64
2015-09-07,2.57
2015-09-08,5.85
2015-09-09,8.66
2015-09-10,7.49
2015-09-11,7.02
2015-09-12,3.98
2015-09-13,1.64
2015-09-14,7.72
2015-09-15,7.95
2015-09-16,6.55
2015-09-17,8.66
2015-09-18,7.49
2015-09-19,3.04
2015-09-20,2.11
2015-09-21,5.61
2015-09-22,6.55
2015-09-23,4.19
2015-09-24,2.88
2015-09-25,4.72
2015-09-26,2.88
2015-09-27,1.57
2015-09-28,4.72
2015-09-29,4.98
2015-09-30,3.67
2015-10-01,2.88
2015-10-02,4.19
2015-10-03,2.62
2015-10-04,1.83
2015-10-05,6.81
2015-10-06,10.48
2015-10-07,9.17
2015-10-08,7.60
2015-10-09,6.29
2015-10-10,2.62
2015-10-11,1.83
2015-10-12,5.24
2015-10-13,5.50
2015-10-14,6.03
2015-10-15,3.93
2015-10-16,5.24
2015-10-17,3.67
2015-10-18,1.05
2015-10-19,4.72
2015-10-20,5.24
2015-10-21,6.03
2015-10-22,14.15
2015-10-23,26.20
2015-10-24,8.12
2015-10-25,3.93
2015-10-26,11.79
2015-10-27,9.96
2015-10-28,9.96
2015-10-29,7.07
2015-10-30,7.07
2015-10-31,3.41
2015-11-01,1.57
2015-11-02,5.50
2015-11-03,7.07
2015-11-04,6.81
2015-11-05,8.12
2015-11-06,5.24
2015-11-07,3.93
2015-11-08,1.31
2015-11-09,6.03
2015-11-10,6.29
2015-11-11,6.29
2015-11-12,5.50
2015-11-13,5.76
2015-11-14,2.62
2015-11-15,1.57
2015-11-16,3.67
2015-11-17,5.24
2015-11-18,6.29
2015-11-19,4.98
2015-11-20,4.98
2015-11-21,1.83
2015-11-22,1.31
2015-11-23,4.72
2015-11-24,5.24
2015-11-25,4.19
2015-11-26,2.10
2015-11-27,1.31
2015-11-28,1.83
2015-11-29,1.57
2015-11-30,4.98
2015-12-01,7.34
2015-12-02,7.07
2015-12-03,5.24
2015-12-04,5.24
2015-12-05,2.88
2015-12-06,0.79
2015-12-07,7.07
2015-12-08,5.24
2015-12-09,5.76
2015-12-10,4.98
2015-12-11,4.45
2015-12-12,2.36
2015-12-13,1.31
2015-12-14,5.50
2015-12-15,3.67
2015-12-16,5.24
2015-12-17,6.55
2015-12-18,4.19
2015-12-19,2.36
2015-12-20,1.83
2015-12-21,5.24
2015-12-22,3.98
2015-12-23,5.42
2015-12-24,4.70
2015-12-25,1.99
2015-12-26,1.63
2015-12-27,1.08
2015-12-28,3.07
2015-12-29,5.24
2015-12-30,4.70
2015-12-31,5.06
2016-01-01,1.81
2016-01-02,1.26
2016-01-03,0.90
2016-01-04,6.51
2016-01-05,6.32
2016-01-06,5.96
2016-01-07,7.95
2016-01-08,7.77
2016-01-09,2.71
2016-01-10,2.17
2016-01-11,4.70
2016-01-12,6.51
2016-01-13,7.95
2016-01-14,6.14
2016-01-15,9.40
2016-01-16,3.07
2016-01-17,1.26
2016-01-18,2.17
2016-01-19,6.87
2016-01-20,7.23
2016-01-21,7.05
2016-01-22,7.59
2016-01-23,3.07
2016-01-24,1.63
2016-01-25,6.69
2016-01-26,7.05
2016-01-27,6.69
2016-01-28,17.71
2016-01-29,18.07
2016-01-30,5.06
2016-01-31,1.81
2016-02-01,8.13
2016-02-02,8.85
2016-02-03,7.77
2016-02-04,5.78
2016-02-05,9.04
2016-02-06,3.07
2016-02-07,2.53
2016-02-08,8.13
2016-02-09,5.24
2016-02-10,6.87
2016-02-11,7.59
2016-02-12,7.05
2016-02-13,1.63
2016-02-14,2.17
2016-02-15,4.16
2016-02-16,6.87
2016-02-17,6.14
2016-02-18,5.42
2016-02-19,4.16
2016-02-20,2.35
2016-02-21,1.45
2016-02-22,4.88
2016-02-23,5.42
2016-02-24,4.88
2016-02-25,4.88
2016-02-26,5.42
2016-02-27,1.81
2016-02-28,1.26
2016-02-29,3.61
2016-03-01,5.96
2016-03-02,4.52
2016-03-03,4.88
2016-03-04,7.23
2016-03-05,1.08
2016-03-06,1.81
2016-03-07,7.41
2016-03-08,5.24
2016-03-09,5.24
2016-03-10,5.06
2016-03-11,4.16
2016-03-12,1.99
2016-03-13,1.63
2016-03-14,5.42
2016-03-15,5.96
2016-03-16,5.96
2016-03-17,7.05
2016-03-18,6.14
2016-03-19,1.99
2016-03-20,1.45
2016-03-21,5.30
2016-03-22,3.13
2016-03-23,4.82
2016-03-24,3.37
2016-03-25,2.41
2016-03-26,1.20
2016-03-27,0.72
2016-03-28,3.37
2016-03-29,4.58
2016-03-30,5.78
2016-03-31,4.10
2016-04-01,4.58
2016-04-02,1.45
2016-04-03,1.69
2016-04-04,3.61
2016-04-05,4.82
2016-04-06,3.86
2016-04-07,4.10
2016-04-08,2.89
2016-04-09,1.45
2016-04-10,1.45
2016-04-11,4.10
2016-04-12,4.34
2016-04-13,3.86
2016-04-14,4.10
2016-04-15,2.65
2016-04-16,1.45
2016-04-17,1.93
2016-04-18,3.61
2016-04-19,7.71
2016-04-20,3.86
2016-04-21,10.60
2016-04-22,15.90
2016-04-23,3.13
2016-04-24,1.45
2016-04-25,6.99
2016-04-26,5.78
2016-04-27,8.43
2016-04-28,6.99
2016-04-29,6.26
2016-04-30,2.65
2016-05-01,0.72
2016-05-02,3.86
2016-05-03,4.58
2016-05-04,6.99
2016-05-05,2.89
2016-05-06,4.34
2016-05-07,0.96
2016-05-08,1.45
2016-05-09,4.10
2016-05-10,4.34
2016-05-11,4.82
2016-05-12,5.30
2016-05-13,2.89
2016-05-14,1.20
2016-05-15,0.72
2016-05-16,3.61
2016-05-17,4.82
2016-05-18,4.82
2016-05-19,3.37
2016-05-20,4.82
2016-05-21,0.72
2016-05-22,0.72
2016-05-23,4.34
2016-05-24,4.10
2016-05-25,6.26
2016-05-26,4.82
2016-05-27,3.37
2016-05-28,1.45
2016-05-29,0.96
2016-05-30,0.96
2016-05-31,3.37
2016-06-01,3.61
2016-06-02,4.34
2016-06-03,4.10
2016-06-04,2.41
2016-06-05,1.20
2016-06-06,4.10
2016-06-07,3.37
2016-06-08,3.37
2016-06-09,3.86
2016-06-10,2.89
2016-06-11,1.20
2016-06-12,0.48
2016-06-13,24.09
2016-06-14,8.43
2016-06-15,6.26
2016-06-16,4.58
2016-06-17,5.06
2016-06-18,1.20
2016-06-19,0.75
2016-06-20,3.92
2016-06-21,3.76
2016-06-22,3.46
