date,y_pred,y_true
2018-04-13,93.66868445038796,93.08
2018-04-16,93.82141573488713,94.17
2018-04-17,95.2073714530468,96.07
2018-04-18,96.54419778347015,96.44
2018-04-19,96.3763747727871,96.11
2018-04-20,96.02772432923317,95.0
2018-04-23,95.83212556898594,95.35
2018-04-24,94.86369661450387,93.12
2018-04-25,93.58668591439724,92.31
2018-04-26,92.86265057384968,94.26
2018-04-27,94.93610674500465,95.82
2018-04-30,95.37303177177907,93.52
2018-05-01,94.03410400211811,95.0
2018-05-02,94.99901799321175,93.51
2018-05-03,94.6442234313488,94.07
2018-05-04,94.48513128817082,95.16
2018-05-07,95.5032173460722,96.22
2018-05-08,96.34078223466874,95.81
2018-05-09,96.12328798532486,96.94
2018-05-10,97.23698481678963,97.91
2018-05-11,98.32228865981102,97.7
2018-05-14,97.8650560027361,98.03
2018-05-15,98.15053134024143,97.32
2018-05-16,97.31736722350121,97.15
2018-05-17,96.47146725416184,96.18
2018-05-18,96.63247236669064,96.36
2018-05-21,97.18792610526086,97.6
2018-05-22,97.61119648873806,97.5
2018-05-23,97.80104220569135,98.66
2018-05-24,98.09807074725629,98.31
2018-05-25,98.46044179856777,98.36
2018-05-29,98.55017231166363,98.01
2018-05-30,98.81108059942723,98.95
2018-05-31,98.60400873482227,98.84
2018-06-01,99.99992979824543,100.79
2018-06-04,100.54617207109928,101.67
2018-06-05,101.84529028892517,102.19
2018-06-06,102.26738273561001,102.49
2018-06-07,101.21885407924653,100.88
2018-06-08,101.47370777189732,101.63
2018-06-11,100.99408489227295,101.05
2018-06-12,101.0344975477457,101.31
2018-06-13,100.75185397028923,100.85
2018-06-14,101.45528955221177,101.42
2018-06-15,100.38985514700413,100.13
2018-06-18,100.56335581302643,100.86
2018-06-19,100.20198365211488,100.86
2018-06-20,100.77603936851025,101.87
2018-06-21,101.31548259019851,101.14
2018-06-22,100.63087986171246,100.41
2018-06-25,99.5824407285452,98.39
2018-06-26,98.83832392156124,99.08
2018-06-27,98.90939120411873,97.54
2018-06-28,97.98466370463372,98.63
2018-06-29,98.14220097124577,98.61
2018-07-02,99.34634921312332,100.01
2018-07-03,98.80884251952172,99.05
2018-07-05,99.56952111780643,99.76
2018-07-06,99.97574440002441,101.16
2018-07-09,101.1453225529194,101.85
2018-07-10,102.03037714123727,102.12
2018-07-11,102.03425019741059,101.98
2018-07-12,102.19711645007133,104.19
2018-07-13,104.75025204181671,105.43
2018-07-16,104.47639116108418,104.91
2018-07-17,104.74982327282429,105.95
2018-07-18,105.23205174863338,105.12
2018-07-19,104.54581875562668,104.4
2018-07-20,104.66451237857342,106.27
2018-07-23,106.9356546139717,107.97
2018-07-24,106.5103911614418,107.66
2018-07-25,107.30991811513901,110.83
2018-07-26,108.94341489434242,109.62
2018-07-27,108.34217710852623,107.68
2018-07-30,106.86936975479126,105.37
2018-07-31,105.45529432952404,106.08
2018-08-01,105.49787438869477,106.28
2018-08-02,105.2458430325985,107.57
2018-08-03,106.14603175282478,108.04
2018-08-06,107.54777182400227,108.13
2018-08-07,107.46906208753586,108.88
2018-08-08,108.21862096250058,109.49
2018-08-09,108.95629209935666,109.67
2018-08-10,108.19645690381527,109.0
2018-08-13,107.66596600174904,108.21
2018-08-14,108.32471537351609,109.56
2018-08-15,107.39400866687298,107.66
2018-08-16,106.52978471279144,107.64
2018-08-17,106.61188219547272,107.58
2018-08-20,106.04769287765026,106.87
2018-08-21,105.61480581820011,105.98
2018-08-22,105.72232788860798,107.06
2018-08-23,106.23496126890183,107.56
2018-08-24,106.7798088645935,108.4
2018-08-27,107.36538009107113,109.6
2018-08-28,108.69332006633282,110.26
2018-08-29,109.6457008099556,112.02
2018-08-30,111.08323602437973,111.95
2018-08-31,111.2181286340952,112.33
2018-09-04,110.80697215259076,111.71
2018-09-05,109.04698852062225,108.49
2018-09-06,107.67123844683171,108.74
2018-09-07,107.21153683423996,108.21
2018-09-10,107.39696764409543,109.38
2018-09-11,108.37909364759922,111.24
2018-09-12,109.92066895127297,111.71
2018-09-13,110.37645981371404,112.91
2018-09-14,112.16388937294484,113.37
2018-09-17,111.2365374302864,112.14
2018-09-18,111.53216658294201,113.21
2018-09-19,111.0102604842186,111.7
2018-09-20,110.90731352031231,113.57
2018-09-21,111.85287636578083,114.26
2018-09-24,112.98014774084092,114.67
2018-09-25,112.08754964530468,114.45
2018-09-26,113.07428844928742,113.98
2018-09-27,112.95881766140461,114.41
2018-09-28,112.5183870947361,114.37
2018-10-01,113.07888240277768,115.61
2018-10-02,113.16321796536445,115.15
2018-10-03,113.52738890409469,115.17
2018-10-04,112.30493552446366,112.79
2018-10-05,111.03058224976063,112.13
2018-10-08,109.85106231033802,110.85
2018-10-09,109.37126038432122,112.26
2018-10-10,109.97263481080532,106.16
2018-10-11,105.2737224406004,105.91
2018-10-12,105.97418019831181,109.57
2018-10-15,108.06118735432625,107.6
2018-10-16,106.34835417628288,111.0
2018-10-17,109.03896912693978,110.71
2018-10-18,108.99814654946327,108.5
2018-10-19,107.44103190362453,108.66
2018-10-22,108.47823351979255,109.63
2018-10-23,107.95760430455208,108.1
2018-10-24,105.64710955679416,102.32
2018-10-25,103.43273916304112,108.3
2018-10-26,107.7056200659275,106.96
2018-10-29,105.24021249473095,103.85
2018-10-30,103.19653927743435,103.73
2018-10-31,102.99010349869728,106.81
2018-11-01,107.34580749332905,105.92
2018-11-02,104.29401827514172,106.16
2018-11-05,106.0099376475811,107.51
2018-11-06,107.01555171072484,107.72
2018-11-07,107.81628015995025,111.96
2018-11-08,111.2988314396143,111.75
2018-11-09,109.2246072536707,109.57
2018-11-12,108.32652939617634,106.87
2018-11-13,106.777014798522,106.94
2018-11-14,106.11804397463798,104.97
2018-11-15,105.09225892186166,107.28
2018-11-16,105.80439238905907,108.29
2018-11-19,106.43135160267353,104.62
2018-11-20,103.96074226260185,101.71
2018-11-21,101.33302913665771,103.11
2018-11-23,103.66859037935734,103.07
2018-11-26,102.89078929185868,106.47
2018-11-27,105.45414937496186,107.14
2018-11-28,106.8220685249567,111.12
2018-11-29,110.32128054261207,110.19
2018-11-30,108.63453159689904,110.89
2018-12-03,110.63845651507378,112.09
2018-12-04,110.48716702520848,108.52
2018-12-06,108.21916281342507,109.19
2018-12-07,106.90328019917011,104.82
2018-12-10,106.10579814374447,107.59
2018-12-11,106.41283443629742,108.59
2018-12-12,107.78414133250713,109.08
2018-12-13,108.43693505585193,109.45
2018-12-14,107.33819330990315,106.03
2018-12-17,105.12117491424084,102.89
2018-12-18,102.61661272406579,103.97
2018-12-19,103.42873888969422,103.69
2018-12-20,102.93538597881795,101.51
2018-12-21,100.19329519033433,98.23
2018-12-24,98.68789668142796,94.13
2018-12-26,96.41029464066028,100.56
2018-12-27,99.29372842073441,101.18
2018-12-28,99.56249590277672,100.39
2018-12-31,100.41184958279133,101.57
